turn,baseline_tokens,deeprole_tokens,reduction_pct,baseline_chars,deeprole_chars
1,155,250,-61.3,122,297
2,265,360,-35.8,238,413
3,375,470,-25.3,352,527
4,485,581,-19.8,466,641
5,511,607,-18.8,496,671
6,622,717,-15.3,610,785
7,732,827,-13.0,724,899
8,842,937,-11.3,840,1015
9,952,937,1.6,954,1015
10,978,854,12.7,984,929
11,1088,853,21.6,1101,932
12,1199,854,28.8,1216,933
13,1309,938,28.3,1331,1018
14,1419,938,33.9,1448,1021
15,1445,854,40.9,1478,937
16,1556,854,45.1,1593,936
17,1666,854,48.7,1710,939
18,1776,938,47.2,1825,1024
19,1887,939,50.2,1940,1022
20,1913,942,50.8,1970,1071
21,2024,942,53.5,2085,1071
22,2134,943,55.8,2200,1069
23,2244,1026,54.3,2317,1156
24,2355,1026,56.4,2432,1156
25,2381,943,60.4,2462,1069
26,2491,942,62.2,2579,1071
27,2601,942,63.8,2694,1071
28,2712,1026,62.2,2809,1156
29,2822,1026,63.6,2926,1158
30,2848,942,66.9,2956,1073
31,2959,942,68.2,3071,1071
32,3069,942,69.3,3188,1073
33,3179,1026,67.7,3303,1158
34,3290,1026,68.8,3418,1156
35,3316,942,71.6,3448,1071
36,3426,942,72.5,3563,1071
37,3537,943,73.3,3678,1069
38,3647,1026,71.9,3795,1156
39,3757,1026,72.7,3910,1156
40,3784,1030,72.8,3940,1203
41,3894,1030,73.5,4057,1205
42,4004,1030,74.3,4172,1205
43,4115,1114,72.9,4287,1290
44,4225,1113,73.7,4404,1292
45,4251,1029,75.8,4435,1208
46,4362,1030,76.4,4550,1206
47,4472,1029,77.0,4667,1208
48,4582,1114,75.7,4782,1293
49,4693,1114,76.3,4897,1291
50,4719,1030,78.2,4928,1207
51,4830,1030,78.7,5043,1207
52,4940,1031,79.1,5158,1205
53,5050,1114,77.9,5275,1291
54,5161,1114,78.4,5390,1291
55,5187,1031,80.1,5421,1205
56,5297,1030,80.6,5538,1207
57,5408,1030,81.0,5653,1207
58,5518,1114,79.8,5768,1291
59,5628,1114,80.2,5885,1293
60,5655,1030,81.8,5916,1209
